case,label,voxel_count,percentage_of_total,total_voxels
word_0084.nii.gz,4,132,0.00023978097098214285,55050240
word_0086.nii.gz,1,47430485,97.27577496600408,48758784
word_0086.nii.gz,2,1159813,2.3786749891055528,48758784
word_0086.nii.gz,3,168412,0.34539827736475137,48758784
word_0086.nii.gz,4,74,0.00015176752562163977,48758784
word_0087.nii.gz,1,51776307,97.77769145399037,52953088
word_0087.nii.gz,2,1057672,1.99737548828125,52953088
word_0087.nii.gz,3,118283,0.22337318647025836,52953088
word_0087.nii.gz,4,826,0.001559871258121906,52953088
word_0089.nii.gz,1,43478967,96.42970728319744,45088768
word_0089.nii.gz,2,1450373,3.2167057658350746,45088768
word_0089.nii.gz,3,159419,0.3535669903422511,45088768
word_0089.nii.gz,4,9,1.996062522710756e-05,45088768
word_0090.nii.gz,1,45271737,97.56947533558991,46399488
word_0090.nii.gz,2,1004137,2.1641122419281866,46399488
word_0090.nii.gz,3,123344,0.2658305195091808,46399488
word_0090.nii.gz,4,270,0.0005819029727224576,46399488
word_0091.nii.gz,1,42718980,97.58082406963418,43778048
word_0091.nii.gz,2,921463,2.10485172842791,43778048
word_0091.nii.gz,3,137266,0.31354984123549773,43778048
word_0091.nii.gz,4,339,0.0007743607024232785,43778048
word_0093.nii.gz,1,46265039,98.04839875962999,47185920
word_0093.nii.gz,2,799871,1.6951476203070746,47185920
word_0093.nii.gz,3,120931,0.25628619723849827,47185920
word_0093.nii.gz,4,79,0.00016742282443576388,47185920
word_0094.nii.gz,1,44308686,97.70186319516573,45350912
word_0094.nii.gz,2,819685,1.807427819753658,45350912
word_0094.nii.gz,3,221490,0.4883915013660585,45350912
word_0094.nii.gz,4,1051,0.0023174837145502167,45350912
word_0095.nii.gz,1,40179170,96.39708800885663,41680896
word_0095.nii.gz,2,1323216,3.1746342497051887,41680896
word_0095.nii.gz,3,178146,0.42740443967423347,41680896
word_0095.nii.gz,4,364,0.0008733017639544025,41680896
word_0096.nii.gz,1,59641148,98.4904433741714,60555264
word_0096.nii.gz,2,846796,1.3983854483732414,60555264
word_0096.nii.gz,3,67314,0.1111612691507711,60555264
word_0096.nii.gz,4,6,9.908304586038961e-06,60555264
word_0100.nii.gz,1,42537341,97.16591520937617,43778048
word_0100.nii.gz,2,1114945,2.5468129597738116,43778048
word_0100.nii.gz,3,125729,0.2871964506046501,43778048
word_0100.nii.gz,4,33,7.538024536863772e-05,43778048
word_0101.nii.gz,1,42395142,96.84109716358299,43778048
word_0101.nii.gz,2,1238147,2.8282371109831117,43778048
word_0101.nii.gz,3,144705,0.3305423759414764,43778048
word_0101.nii.gz,4,54,0.0001233494924214072,43778048
word_0102.nii.gz,1,56839125,98.11043199910297,57933824
word_0102.nii.gz,2,912904,1.575770313383767,57933824
word_0102.nii.gz,3,181245,0.3128483284652503,57933824
word_0102.nii.gz,4,550,0.0009493590480062217,57933824
word_0104.nii.gz,1,49647090,98.12881785970896,50593792
word_0104.nii.gz,2,768575,1.5191093009988261,50593792
word_0104.nii.gz,3,177738,0.351303970257853,50593792
word_0104.nii.gz,4,389,0.0007688690343669041,50593792
word_0105.nii.gz,1,54720212,97.54254350038332,56098816
word_0105.nii.gz,2,1170731,2.086908572188048,56098816
word_0105.nii.gz,3,206798,0.36863166595173774,56098816
word_0105.nii.gz,4,1075,0.0019162614768910631,56098816
word_0106.nii.gz,1,53926965,98.42825164064837,54788096
word_0106.nii.gz,2,748134,1.3655046526895185,54788096
word_0106.nii.gz,3,112874,0.20601920533978768,54788096
word_0106.nii.gz,4,123,0.00022450132233104068,54788096
word_0107.nii.gz,1,46056746,97.60696834988065,47185920
word_0107.nii.gz,2,1007295,2.1347363789876304,47185920
word_0107.nii.gz,3,121513,0.25751961602105033,47185920
word_0107.nii.gz,4,366,0.0007756551106770834,47185920
word_0108.nii.gz,1,44522320,97.05095563616071,45875200
word_0108.nii.gz,2,1116992,2.434849330357143,45875200
word_0108.nii.gz,3,235731,0.5138528006417411,45875200
word_0108.nii.gz,4,157,0.0003422328404017857,45875200
word_0109.nii.gz,1,42863963,97.32919193449474,44040192
word_0109.nii.gz,2,992199,2.2529397691999162,44040192
word_0109.nii.gz,3,183688,0.41709173293340773,44040192
word_0109.nii.gz,4,342,0.0007765633719308036,44040192
word_0111.nii.gz,1,57260353,97.95108162234182,58458112
word_0111.nii.gz,2,1085792,1.8573846517656951,58458112
word_0111.nii.gz,3,111184,0.19019430528307174,58458112
word_0111.nii.gz,4,783,0.0013394206094100335,58458112
word_0113.nii.gz,1,67011442,98.3186017549955,68157440
word_0113.nii.gz,2,1046979,1.536118434025691,68157440
word_0113.nii.gz,3,98622,0.1446973360501803,68157440
word_0113.nii.gz,4,397,0.0005824749286358173,68157440
word_0114.nii.gz,1,50809635,96.91168785095215,52428800
word_0114.nii.gz,2,1428659,2.7249507904052734,52428800
word_0114.nii.gz,3,190023,0.3624401092529297,52428800
word_0114.nii.gz,4,483,0.0009212493896484375,52428800
word_0115.nii.gz,1,52617044,97.91126530344893,53739520
word_0115.nii.gz,2,1030520,1.9176204030106707,53739520
word_0115.nii.gz,3,91888,0.17098775724085366,53739520
word_0115.nii.gz,4,68,0.00012653629954268293,53739520
word_0116.nii.gz,1,40841292,97.9856383125737,41680896
word_0116.nii.gz,2,731534,1.7550822323973074,41680896
word_0116.nii.gz,3,107896,0.2588619975923742,41680896
word_0116.nii.gz,4,174,0.00041745743661556606,41680896
word_0117.nii.gz,1,51209928,97.18923995743937,52690944
word_0117.nii.gz,2,1290173,2.4485668732752255,52690944
word_0117.nii.gz,3,190751,0.36201856622648476,52690944
word_0117.nii.gz,4,92,0.00017460305892412936,52690944
word_0118.nii.gz,1,55706935,97.92861411099061,56885248
word_0118.nii.gz,2,1035005,1.819461172077513,56885248
word_0118.nii.gz,3,143236,0.2517981463313652,56885248
word_0118.nii.gz,4,72,0.0001265706005184332,56885248
word_0119.nii.gz,1,43881291,97.32200045918309,45088768
word_0119.nii.gz,2,1104075,2.4486696997354196,45088768
word_0119.nii.gz,3,103388,0.2292987912200218,45088768
word_0119.nii.gz,4,14,3.1049861464389536e-05,45088768
word_0121.nii.gz,1,52389826,97.96633626900467,53477376
word_0121.nii.gz,2,957788,1.7910153258080577,53477376
word_0121.nii.gz,3,129438,0.24204254150390625,53477376
word_0121.nii.gz,4,324,0.0006058636833639705,53477376
word_0122.nii.gz,1,51938846,98.08464050292969,52953088
word_0122.nii.gz,2,921186,1.7396265917485303,52953088
word_0122.nii.gz,3,93049,0.17571968607383198,52953088
word_0122.nii.gz,4,7,1.3219247950185643e-05,52953088
word_0123.nii.gz,1,55386239,97.36485459288144,56885248
word_0123.nii.gz,2,1361822,2.393980949155746,56885248
word_0123.nii.gz,3,137157,0.2411117202125936,56885248
word_0123.nii.gz,4,30,5.2737750216013824e-05,56885248
word_0125.nii.gz,1,45428919,97.90823338395458,46399488
word_0125.nii.gz,2,880419,1.8974756790419756,46399488
word_0125.nii.gz,3,90084,0.1941486940545551,46399488
word_0125.nii.gz,4,66,0.00014224294888771186,46399488
word_0126.nii.gz,1,57125840,97.28472573416573,58720256
word_0126.nii.gz,2,1390986,2.3688350405011858,58720256
word_0126.nii.gz,3,203385,0.3463625907897949,58720256
word_0126.nii.gz,4,45,7.663454328264509e-05,58720256
word_0127.nii.gz,1,52679481,97.55158841031269,54001664
word_0127.nii.gz,2,1141209,2.1132848795177868,54001664
word_0127.nii.gz,3,180533,0.33431006866751367,54001664
word_0127.nii.gz,4,441,0.0008166415020100121,54001664
word_0128.nii.gz,1,60467421,97.73936675766767,61865984
word_0128.nii.gz,2,1237056,1.9995737884004237,61865984
word_0128.nii.gz,3,161201,0.26056483640509137,61865984
word_0128.nii.gz,4,306,0.000494617526814089,61865984
word_0130.nii.gz,1,40422042,96.9797818165905,41680896
word_0130.nii.gz,2,1134023,2.7207260611672073,41680896
word_0130.nii.gz,3,124771,0.2993481714020735,41680896
word_0130.nii.gz,4,60,0.00014395084021226416,41680896
word_0132.nii.gz,1,42972648,97.5759778703962,44040192
word_0132.nii.gz,2,937718,2.1292323157900857,44040192
word_0132.nii.gz,3,129769,0.29466038658505395,44040192
word_0132.nii.gz,4,57,0.00012942722865513394,44040192
word_0133.nii.gz,1,58185048,98.21165641852184,59244544
word_0133.nii.gz,2,871176,1.4704746482646571,59244544
word_0133.nii.gz,3,188296,0.3178284231540376,59244544
word_0133.nii.gz,4,24,4.0510059457964604e-05,59244544
word_0134.nii.gz,1,52894808,98.42813631383385,53739520
word_0134.nii.gz,2,720755,1.3412010378953887,53739520
word_0134.nii.gz,3,123800,0.23037049828506098,53739520
word_0134.nii.gz,4,157,0.00029214998570884144,53739520
word_0135.nii.gz,1,58993376,97.8442913552989,60293120
word_0135.nii.gz,2,1196906,1.9851452371348506,60293120
word_0135.nii.gz,3,102790,0.17048379649286685,60293120
word_0135.nii.gz,4,48,7.961107336956522e-05,60293120
word_0136.nii.gz,1,55717703,97.49824278945223,57147392
word_0136.nii.gz,2,1262374,2.208979195411052,57147392
word_0136.nii.gz,3,166426,0.2912223885912414,57147392
word_0136.nii.gz,4,889,0.0015556265454773508,57147392
word_0138.nii.gz,1,56793404,97.15230625306545,58458112
word_0138.nii.gz,2,1504955,2.5744160194568035,58458112
word_0138.nii.gz,3,159664,0.27312548171244394,58458112
word_0138.nii.gz,4,89,0.0001522457653096973,58458112
word_0140.nii.gz,1,57349791,98.10407664209204,58458112
word_0140.nii.gz,2,948344,1.622262450077074,58458112
word_0140.nii.gz,3,156280,0.2673367213775224,58458112
word_0140.nii.gz,4,3697,0.006324186453370235,58458112
word_0142.nii.gz,1,50776014,96.84756088256836,52428800
