case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0042,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.8964106909700905,0.6048554239929768,0.8959690751365464,103669,26839071,23633,327
s0042,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9475226734705959,0.6038206174336068,0.9461578649278357,648214,26246685,55360,16441
s0045,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9975617348984677,nan,0.9292585697436131,15727277,524307,10391,66491
s0045,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.842204474428295,0.458721198611625,0.8420126790243347,16978,16305126,5785,577
s0045,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.8713171005784854,0.5642842042630096,0.8706373592140693,75988,16230033,22319,126
s0045,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9472142404615062,0.6692346805343689,0.9457014315730294,431341,15849050,38387,9688
s0046,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9990296679622723,nan,0.96210627706428,12649874,320470,11538,13035
s0046,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8886004248288883,0.6551735806266322,0.8884564952849681,15060,12976081,3635,141
s0046,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9286387765909355,0.6601906207818656,0.9284257148834612,35949,12953443,3810,1715
s0046,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9724428629685633,0.7509447280839755,0.971842479048745,269461,12710184,5590,9682
s0048,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.995706021496849,nan,0.9553719011692331,5411367,555240,19422,27251
s0048,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8705935771485181,0.5390268920448489,0.8700712921161566,21091,5985919,4278,1992
s0048,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9307874878026956,0.6673617558338832,0.9294164955541961,109220,5887817,16092,151
s0048,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9721721978265894,0.712702156410644,0.9699916825781811,424848,5564110,6962,17360
s0049,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9975728389411032,nan,0.9175654485123946,21516058,601897,14745,89955
s0049,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.7706446908807271,0.38833457514988684,0.7704991287290966,11362,22204530,6474,289
s0049,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.7111111111111111,0.455881711051776,0.7098425801761825,75328,22086123,61091,113
s0049,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9654789827455824,0.7062628411107307,0.964629780031673,515154,21670662,22443,14396
s0050,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9975307999493417,nan,0.9197586591721233,18324760,537819,13407,77312
s0050,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8683276474034254,0.5510302809794417,0.8681274047663803,25198,18920458,6456,1186
s0050,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9341938827768762,0.7075963304091902,0.9339124623241591,75701,18866932,10462,203
s0050,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9232424343620939,0.6156464394189721,0.9212825684366223,436810,18443856,60504,12128
s0052,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9977520280554876,nan,0.9290208860754103,17611342,537594,15415,63943
s0052,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8806093777914927,0.5372150415538248,0.8804101301583046,27110,18193833,7252,99
s0052,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9403358548967992,0.7091418787770752,0.9399953810627749,97518,18118401,11536,839
s0052,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9326621226698466,0.6382394336961456,0.9309877638789331,412966,17755696,45155,14477
s0053,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9991936320731211,nan,0.9632799010071003,37494795,812281,14435,46083
s0053,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8161536626103555,0.507610108242937,0.8159967666655125,27364,38327902,11384,944
s0053,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9572813022913148,0.7801471661777493,0.957138997829744,122140,38234553,10562,339
s0053,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9725082052738283,0.7020731642299916,0.972011146017115,662688,37667439,24226,13241
s0054,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.998093202737978,nan,0.9214064802353416,18111272,416560,10672,58529
s0054,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8353003815777797,0.4931178125127244,0.8352028588131897,9413,18583908,3580,132
s0054,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9435637179777069,0.752148572529639,0.9433824544669163,56335,18533959,6511,228
s0054,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9225275982608558,0.6352110369051023,0.9209148927856325,350733,18187392,48517,10391
s0057,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.998650691502083,nan,0.9651604992046816,15163956,591283,12274,28703
s0057,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8860879155506538,0.6234170899238831,0.885928897009468,19684,15771471,4607,454
