case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.8831103230185582,nan,0.8830671230951821,83918,257057131,9779,12436
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.9618654123230782,nan,0.9617953365972721,453962,256673306,6789,29207
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,3,liver,0.9681395741397189,nan,0.9678806187518504,2007389,255023753,49756,82366
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,0,background,0.999581877746187,nan,0.9602027051477974,254355066,2595406,196605,16187
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,1,pancreas,0.8952279689121795,nan,0.8951878257840666,88406,257054165,5291,15402
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,2,kidney,0.938478428737923,nan,0.9383617802938615,458183,256645009,2568,57504
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.968785441670148,nan,0.9685268085272055,2048817,254982420,8328,123699
UKCHLL007,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,0,background,0.9993686982446752,nan,0.9396453596141298,254312744,2529221,238927,82372
UKCHLL007,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,1,pancreas,0.4549657715070179,nan,0.45473937130910413,49546,256995009,44151,74558
UKCHLL007,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,2,kidney,0.9108746288560844,nan,0.9107015892623649,456948,256616895,3803,85618
UKCHLL007,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,3,liver,0.9727830582382678,nan,0.9725612253260096,2022719,255027360,34426,78759
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.9996640741263131,nan,0.9683637595839993,254347149,2645174,146837,24104
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.9005305702381071,nan,0.9004918980764066,90126,257053228,6228,13682
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.960693032829557,nan,0.9606166287904487,479797,256644205,3372,35890
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9737771249176789,nan,0.9735580809308929,2075251,254976244,14504,97265
UKCHLL007,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,0,background,0.9993690491725248,nan,0.9403185253446148,254284009,2558171,209977,111107
UKCHLL007,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,1,pancreas,0.4507162361991853,nan,0.4504844269630293,49682,256992488,46672,74422
UKCHLL007,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,2,kidney,0.9338766835488699,nan,0.9337449925061253,478955,256616484,4214,63611
UKCHLL007,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,3,liver,0.9684663200542657,nan,0.9682072437683764,2029534,255001565,60221,71944
UKCHLL007,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,0,background,0.9993957128089966,nan,0.9441021614131323,254229464,2626359,141789,165652
UKCHLL007,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,1,pancreas,0.47901821755765384,nan,0.4787890864902459,54587,256989939,49221,69517
UKCHLL007,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,2,kidney,0.9433358563594906,nan,0.9432191021434381,499144,256604155,16543,43422
UKCHLL007,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,3,liver,0.9698605098650115,nan,0.9696080258423796,2072589,254961859,99927,28889
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.999741710936488,nan,0.9762604347834315,270889996,2910512,104338,35634
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.6941211374321056,nan,0.6940747734112802,30415,273883259,3361,23445
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.9717300801599549,nan,0.9716790996842434,479198,273433400,10919,16963
