case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
UKCHLL080,annotation_2_vs_annotation_3,0.9618396965681625,0.999116477753197,0.9934985600319566,0.9271270901775498
UKCHLL080,annotation_2_vs_clip_unet,0.8877909592516914,0.9973941184954936,0.9898768405348155,0.7998963133979913
UKCHLL080,annotation_3_vs_clip_unet,0.8883822006559657,0.9974233787153021,0.9900962207799101,0.8008515768997001
UKCHLL081,annotation_1_vs_annotation_2,0.9701296821440756,0.9993147977657272,0.9994709133883835,0.9425261942584973
UKCHLL081,annotation_1_vs_annotation_3,0.9807312619123741,0.9995597365998874,0.9996064630235015,0.9625436031877953
UKCHLL081,annotation_1_vs_clip_unet,0.9159612248119703,0.9980214158403903,0.9908209150126727,0.8461680565723422
UKCHLL081,annotation_2_vs_annotation_3,0.9872736290650045,0.9997073031980046,0.9998985591170527,0.9751046401657191
UKCHLL081,annotation_2_vs_clip_unet,0.9106142119470737,0.9978820726529235,0.9720654507633295,0.836769205127233
UKCHLL081,annotation_3_vs_clip_unet,0.9153012999101929,0.9980008016247529,0.9909059519327583,0.8450580215973276
UKCHLL082,annotation_1_vs_annotation_2,0.9780187117474424,0.9995306536775171,0.9993237519256553,0.9573734377076862
UKCHLL082,annotation_1_vs_annotation_3,0.039001228249363425,0.989406122387335,1.0,0.02001039813314257
UKCHLL082,annotation_1_vs_clip_unet,0.9368376566045392,0.9986131691905616,0.9994204762485697,0.8822424044554842
UKCHLL082,annotation_2_vs_annotation_3,0.038958627412092654,0.9894556874720111,1.0,0.019988208614954938
UKCHLL082,annotation_2_vs_clip_unet,0.9359418299780594,0.9985967629613454,0.9988357560895869,0.8806609245136416
UKCHLL082,annotation_3_vs_clip_unet,0.03741319747818058,0.9888470419148717,1.0,0.019187015521955897
UKCHLL083,annotation_1_vs_annotation_2,0.9631067497504746,0.9984657061355314,1.0,0.9300394364389027
UKCHLL083,annotation_1_vs_annotation_3,0.9584263796800006,0.9982610385146918,1.0,0.9215205899753874
UKCHLL083,annotation_1_vs_clip_unet,0.9273317937372569,0.9969158392565254,1.0,0.8667430944169637
UKCHLL083,annotation_2_vs_annotation_3,0.9841453549260504,0.9993230640593628,1.0,0.9693357633563012
UKCHLL083,annotation_2_vs_clip_unet,0.9328304642665471,0.9970909633982122,0.9999991100960285,0.8762400657714442
UKCHLL083,annotation_3_vs_clip_unet,0.9312660293588289,0.9970066818413271,0.9999920154168273,0.87355352088858
UKCHLL084,annotation_1_vs_annotation_2,0.9693770004670609,0.9992186623330442,1.0,0.941181314434522
UKCHLL084,annotation_1_vs_annotation_3,0.9651997831422252,0.9991079452862157,1.0,0.9334279916233896
UKCHLL084,annotation_1_vs_clip_unet,0.9339196343376648,0.9982799940721342,1.0,0.8772775594306113
UKCHLL084,annotation_2_vs_annotation_3,0.9866881461807265,0.9996546751223736,1.0,0.9740027350833903
UKCHLL084,annotation_2_vs_clip_unet,0.9375372244612872,0.9983549572172619,1.0,0.883615687251803
UKCHLL084,annotation_3_vs_clip_unet,0.9364815341178361,0.9983196140076063,0.9999991181009429,0.881770352316715
UKCHLL086,annotation_1_vs_annotation_2,0.966731073240937,0.9992177992010836,1.0,0.936231101309359
UKCHLL086,annotation_1_vs_annotation_3,0.9471985526054434,0.9987301083665397,1.0,0.9006724692440906
UKCHLL086,annotation_1_vs_clip_unet,0.9348226527178888,0.9984024967979546,1.0,0.8788205387556917
UKCHLL086,annotation_2_vs_annotation_3,0.946113325537178,0.9987098962218318,1.0,0.8987274952162945
UKCHLL086,annotation_2_vs_clip_unet,0.9269471669919921,0.9982174437249726,1.0,0.8651562151978618
UKCHLL086,annotation_3_vs_clip_unet,0.9177737281542009,0.9979493567691976,1.0,0.8495308070591194
UKCHLL087,annotation_1_vs_annotation_2,0.9766017646003478,0.9994122728981085,1.0,0.9547570323193465
UKCHLL087,annotation_1_vs_annotation_3,0.9723832582551339,0.9993042950504827,1.0,0.946818928700924
